,acebeda-la,ajalvir,alameda-del-valle,alamo-el,alcala-de-henares,alcobendas,alcorcon,aldea-del-fresno,algete,alpedrete,ambite,anchuelo,aranjuez,arganda-del-rey,arroyomolinos,atazar-el,batres,becerril-de-la-sierra,belmonte-de-tajo,berrueco-el,berzosa-del-lozoya,boadilla-del-monte,boalo-el,braojos,brea-de-tajo,brunete,buitrago-del-lozoya,bustarviejo,cabanillas-de-la-sierra,cadalso-de-los-vidrios,camarma-de-esteruelas,campo-real,canencia,carabana,casarrubuelos,cenicientos,cercedilla,cervera-de-buitrago,chapineria,chinchon,ciempozuelos,cobena,collado-mediano,collado-villalba,colmenar-del-arroyo,colmenar-de-oreja,colmenarejo,colmenar-viejo,corpa,coslada,cubas-de-la-sagra,daganzo-de-arriba,escorial-el,estremera,fresnedillas-de-la-oliva,fresno-de-torote,fuenlabrada,fuente-el-saz-de-jarama,fuentiduena-de-tajo,galapagar,garganta-de-los-montes,gargantilla-del-lozoya-y-pinilla-de-buitrago,gascones,getafe,grinon,guadalix-de-la-sierra,guadarrama,hiruela-la,horcajo-de-la-sierra-aoslos,horcajuelo-de-la-sierra,hoyo-de-manzanares,humanes-de-madrid,loeches,lozoya,lozoyuela-navas-sieteiglesias,madarcos,madrid,majadahonda,manzanares-el-real,meco,mejorada-del-campo,miraflores-de-la-sierra,molar-el,montejo-de-la-sierra,moraleja-de-enmedio,moralzarzal,morata-de-tajuna,mostoles,navacerrada,navalafuente,navalagamella,navalcarnero,navarredonda-y-san-mames,navas-del-rey,nuevo-baztan,olmeda-de-las-fuentes,orusco-de-tajuna,paracuellos-de-jarama,parla,patones,pedrezuela,pelayos-de-la-presa,perales-de-tajuna,pezuela-de-las-torres,pinilla-del-valle,pinto,pinuecar-gandullas,pozuelo-de-alarcon,pozuelo-del-rey,pradena-del-rincon,puebla-de-la-sierra,puentes-viejas-manjiron,quijorna,rascafria,reduena,ribatejada,rivas-vaciamadrid,robledillo-de-la-jara,robledo-de-chavela,robregordo,rozas-de-madrid-las,rozas-de-puerto-real,san-agustin-del-guadalix,san-fernando-de-henares,san-lorenzo-de-el-escorial,san-martin-de-la-vega,san-martin-de-valdeiglesias,san-sebastian-de-los-reyes,santa-maria-de-la-alameda,santorcaz,santos-de-la-humosa-los,serna-del-monte-la,serranillos-del-valle,sevilla-la-nueva,somosierra,soto-del-real,talamanca-de-jarama,tielmes,titulcia,torrejon-de-ardoz,torrejon-de-la-calzada,torrejon-de-velasco,torrelaguna,torrelodones,torremocha-de-jarama,torres-de-la-alameda,tres-cantos,valdaracete,valdeavero,valdelaguna,valdemanco,valdemaqueda,valdemorillo,valdemoro,valdeolmos-alalpardo,valdepielagos,valdetorres-de-jarama,valdilecha,valverde-de-alcala,velilla-de-san-antonio,vellon-el,venturada,villaconejos,villa-del-prado,villalbilla,villamanrique-de-tajo,villamanta,villamantilla,villanueva-de-la-canada,villanueva-del-pardillo,villanueva-de-perales,villar-del-olmo,villarejo-de-salvanes,villaviciosa-de-odon,villavieja-del-lozoya,zarzalejo
0,41.0869583,40.5342302,40.9177178,40.2307296,40.4818396,40.5400082,40.3492998,40.3215212,40.5961652,40.6599005,40.3289723,40.4653862,40.03221,40.3007708,39.1855991,40.9343489,40.2091393,40.7163374,40.1336305,40.8889705,40.9757802,40.4053485,40.7173359,41.0400124,40.2302134,40.4050499,40.9953477,40.8587766,40.8216089,40.3014283,40.5490368,40.3381881,40.9095894,40.256626,40.1707803,40.2631894,40.7412931,40.9211319,40.379164,40.1408293,40.1580087,40.5676083,40.6943707,40.6431496,40.4179997,40.1074198,40.5607257,40.6587726,40.4235374,40.423802,40.1908352,40.5451953,40.5890661,40.1847306,40.486444,40.5922684,40.282476,40.6312151,40.1185446,40.5774992,40.9216084,40.96551504999999,41.0185654,40.3070639,40.2136607,40.7822384,40.6734454,41.0779223,41.078683,41.0601151,40.6227334,40.2508847,40.3837901,40.9513281,40.9263383,41.0477311,40.4167047,40.473055,40.7267632,40.553746,40.3971785,40.8137532,40.7347865,41.0593529,40.2615532,40.6791436,40.2294297,40.3238525,40.7287926,40.8232617,40.4690591,40.2877169,41.00736645,40.3863666,40.3659255,40.3695225,40.2853409,40.5048527,40.2373952,40.8548194,40.7451088,40.3605272,40.2325718,40.4186483,40.9261949,40.240985,41.03554635,40.4346528,40.3664055,41.0443369,41.0121247,40.9654041,40.4290833,40.9038871,40.8158054,40.6664949,40.3536054,40.9529148,40.5009201,41.1064517,40.4933095,40.3098351,40.679051,40.4248548,40.5926673,40.2110462,40.3625,40.5473698,40.5958248,40.4715789,40.5012957,41.0305793,40.2044509,40.3475422,41.133207,40.7534432,40.7454625,40.2465011,40.1379148,40.4587767,40.2006804,40.1869283,40.8277273,40.5762809,40.8358114,40.4021516,40.6065826,40.2107697,40.6309749,40.1605777,40.8736636,40.5110297,40.5016772,40.1888604,40.6385429,40.7610144,40.6956481,40.2926854,40.4180359,40.367166,40.7677965,40.7985257,40.1040079,40.2764752,40.4323665,40.0686973,40.2990939,40.3421033,40.4472106,40.4949232,40.3466066,40.3364465,40.1683582,40.3573787,41.0063622,40.5483016
1,-3.624399,-3.4807818,-3.8438216,-3.9905893,-3.3644973,-3.6358494,-3.8284295,-4.19936,-3.4974246,-4.0251223,-3.1812115,-3.2689196,-3.6039604,-3.4380688,-6.1630632,-3.4710919,-3.9215947,-3.9890681,-3.3398654,-3.5614344,-3.5236736,-3.8764663,-3.9202198,-3.6425888,-3.1092543,-3.9979912,-3.6350501,-3.7097632,-3.6259742,-4.4408876,-3.3786211,-3.3813911,-3.7375609,-3.2347206,-3.8308526,-4.4669801,-4.0558002,-3.5293404,-4.2097254,-3.4231474,-3.6205514,-3.5048565,-4.0247212,-3.9930128,-4.1972768,-3.3871634,-4.0165248,-3.7659722,-3.2652482,-3.5552882,-3.8378366,-3.45785,-4.147394873409854,-3.1062403,-4.1723486,-3.4119681,-3.7923422,-3.5125918,-3.160254,-4.0037748,-3.6866546,-3.7077907634147276,-3.641499,-3.7331808,-3.8581479,-3.7007794,-4.0893911,-3.4552928,-3.583901523172418,-3.5457391,-3.9072054,-3.8270997,-3.4092281,-3.7917078,-3.6176377,-3.5821549,-3.7035825,-3.8724138,-3.864981,-3.3281561,-3.4896068,-3.7667236,-3.584376,-3.530299,-3.8612117,-3.9720985,-3.4366925,-3.8649214,-4.0151676,-3.6747292,-4.1227079,-4.014299,-3.7315049706950285,-4.2508402,-3.2443102,-3.2213199,-3.2096521,-3.5317621,-3.7718902,-3.483954,-3.6030185,-4.3334254,-3.3517265,-3.1778029,-3.8184676,-3.7005072,-3.599475586218161,-3.814834,-3.3200082,-3.5402284,-3.4444367,-3.5828764,-4.0565378,-3.8802853,-3.6039309,-3.3919178,-3.5310879,-3.5250504,-4.2380999,-3.5937466,-3.8758396,-4.4912111,-3.6166004,-3.5350369,-4.1471642,-3.5771806,-4.3986503,-3.6260586,-4.2579208,-3.2335594,-3.2566803,-3.6252636,-3.8851988,-4.0275268,-3.581478,-3.7866573,-3.5127366,-3.3136206,-3.5709978,-3.4793343,-3.7993298,-3.7769069,-3.538293,-3.928603,-3.4966866,-3.360625,-3.7065333,-3.1954758,-3.3329368,-3.367827,-3.6636949,-4.2977731,-4.0688878,-3.67143,-3.4532436,-3.4656251,-3.5146559,-3.3002096,-3.2996775,-3.4874435,-3.5820099,-3.6207369,-3.4850284,-4.3048032,-3.2987815,-3.240078,-4.1090399,-4.1300303,-4.002795,-3.9600065,-4.1012616,-3.2355624,-3.2738764,-3.9002334,-3.6716291,-4.1815899
2,La Acebeda,Ajalvir,Alameda del Valle,El Álamo,Alcalá de Henares,Alcobendas,Alcorcón,Aldea del Fresno,Algete,Alpedrete,Ambite,Anchuelo,Aranjuez,Arganda del Rey,Arroyomolinos,El Atazar,Batres,Becerril de la Sierra,Belmonte de Tajo,El Berrueco,Berzosa del Lozoya,Boadilla del Monte,El Boalo,Braojos,Brea de Tajo,Brunete,Buitrago del Lozoya,Bustarviejo,Cabanillas de la Sierra,Cadalso de los Vidrios,Camarma de Esteruelas,Campo Real,Canencia,Carabaña,Casarrubuelos,Cenicientos,Cercedilla,Cervera de Buitrago,Chapinería,Chinchón,Ciempozuelos,Cobeña,Collado Mediano,Collado Villalba,Colmenar del Arroyo,Colmenar de Oreja,Colmenarejo,Colmenar Viejo,Corpa,Coslada,Cubas de la Sagra,Daganzo de Arriba,Real Monasterio de San Lorenzo de El Escorial,Estremera,Fresnedillas de la Oliva,Fresno de Torote,Fuenlabrada,Fuente el Saz de Jarama,Fuentidueña de Tajo,Galapagar,Garganta de los Montes,Gargantilla del Lozoya y Pinilla de Buitrago,Gascones,Getafe,Griñón,Guadalix de la Sierra,Guadarrama,La Hiruela,Horcajo de la Sierra-Aoslos,Horcajuelo de la Sierra,Hoyo de Manzanares,Humanes de Madrid,Loeches,Lozoya,Lozoyuela-Navas-Sieteiglesias,Madarcos,Madrid,Majadahonda,Manzanares el Real,Meco,Mejorada del Campo,Miraflores de la Sierra,El Molar,Montejo de la Sierra,Moraleja de Enmedio,Moralzarzal,Morata de Tajuña,Móstoles,Navacerrada,Navalafuente,Navalagamella,Navalcarnero,Navarredonda y San Mamés,Navas del Rey,Nuevo Baztán,Olmeda de las Fuentes,Orusco de Tajuña,Paracuellos de Jarama,Parla,Patones,Pedrezuela,Pelayos de la Presa,Perales de Tajuña,Pezuela de las Torres,Pinilla del Valle,Pinto,Piñuécar-Gandullas,Pozuelo de Alarcón,Pozuelo del Rey,Prádena del Rincón,Puebla de la Sierra,Manjirón,Quijorna,Rascafría,Redueña,Ribatejada,Rivas-Vaciamadrid,Robledillo de la Jara,Robledo de Chavela,Robregordo,Las Rozas de Madrid,Rozas de Puerto Real,San Agustín del Guadalix,San Fernando de Henares,San Lorenzo de El Escorial,San Martín de la Vega,San Martín de Valdeiglesias,San Sebastián de los Reyes,Santa María de la Alameda,Santorcaz,Los Santos de la Humosa,La Serna del Monte,Serranillos del Valle,Sevilla la Nueva,Somosierra,Soto del Real,Talamanca de Jarama,Tielmes,Titulcia,Torrejón de Ardoz,Torrejón de la Calzada,Torrejón de Velasco,Torrelaguna,Torrelodones,Torremocha de Jarama,Torres de la Alameda,Tres Cantos,Valdaracete,Valdeavero,Valdelaguna,Valdemanco,Valdemaqueda,Valdemorillo,Valdemoro,Valdeolmos-Alalpardo,Valdepiélagos,Valdetorres de Jarama,Valdilecha,Valverde de Alcalá,Velilla de San Antonio,El Vellón,Venturada,Villaconejos,Villa del Prado,Villalbilla,Villamanrique de Tajo,Villamanta,Villamantilla,Villanueva de la Cañada,Villanueva del Pardillo,Villanueva de Perales,Villar del Olmo,Villarejo de Salvanés,Villaviciosa de Odón,Villavieja del Lozoya,Zarzalejo
